iter	AUC	CrossEntropy
0	0.6303996508	0.6915405507
1	0.6403562122	0.6899761216
2	0.6467595033	0.6884772039
3	0.6493843773	0.6870650342
4	0.6511690146	0.6857132713
5	0.6540572144	0.6844245213
6	0.6549544647	0.6831904137
7	0.6565428625	0.6820115619
8	0.6570908977	0.6808862562
9	0.6571722075	0.67979904
10	0.6577886408	0.6787562667
11	0.6583872647	0.6777539553
12	0.6594072693	0.6767826935
13	0.6603205491	0.6758627745
14	0.6604177989	0.674972432
15	0.6623252114	0.6741193245
16	0.6640061137	0.6733072882
17	0.6645922424	0.6724950757
18	0.6651654818	0.6717161324
19	0.665281167	0.6709650919
20	0.6667351202	0.6702218154
21	0.6674321127	0.6695113691
22	0.6684034744	0.6688077939
23	0.6689279089	0.6681530899
24	0.6700280302	0.6674853661
25	0.6717835244	0.6668423591
26	0.6723472012	0.6662152937
27	0.6733720422	0.6656116323
28	0.6741977564	0.6650060836
29	0.6754607218	0.6644336539
30	0.6759345547	0.6638771994
31	0.6771264588	0.6633383746
32	0.6775227479	0.6627880284
33	0.6791213119	0.6622641928
34	0.6797438729	0.6617343926
35	0.6803690168	0.6612132161
36	0.6815226153	0.6607137665
37	0.6824456797	0.6602254749
38	0.683902929	0.6597574103
39	0.6847502987	0.6592854153
40	0.6856054123	0.6588314392
41	0.6860810405	0.6583606688
42	0.686417135	0.6579094281
43	0.6871614893	0.6574717136
44	0.6877938691	0.6570422536
45	0.6884313743	0.6566182297
46	0.6887221611	0.6561920129
47	0.6895342621	0.6557928086
48	0.6902606258	0.6553732152
49	0.6908286412	0.654986965
50	0.6908970676	0.6545846884
51	0.6915770245	0.6542072461
52	0.6922334323	0.6538257275
53	0.6927067097	0.6534598731
54	0.6931705556	0.6530880499
55	0.6934551006	0.6527207995
56	0.6937774919	0.6523608454
57	0.6941173263	0.6520079659
58	0.694709284	0.6516550024
59	0.6953768166	0.651314321
60	0.6958844054	0.6509757703
61	0.696463511	0.6506428462
62	0.6971185336	0.6503182428
63	0.6973622814	0.6499888801
64	0.6980556017	0.6496859265
65	0.6986753152	0.6493762157
66	0.6989101745	0.6490636177
67	0.6994600205	0.6487638799
68	0.6998226938	0.6484586645
69	0.7000459157	0.6481673489
70	0.7005290575	0.6478820983
71	0.7005606603	0.6475898995
72	0.701116208	0.6473091831
73	0.7014603361	0.647039714
74	0.7019015336	0.6467597587
75	0.7020792548	0.6464793775
76	0.7024120703	0.6462037133
77	0.7026669226	0.6459405106
78	0.7028126813	0.6456775029
79	0.7030503394	0.6454166848
80	0.7036350504	0.6451700174
81	0.7039523725	0.6449157697
82	0.7044797215	0.6446734245
83	0.7046940243	0.6444173255
84	0.7047306786	0.6441665648
85	0.7050412657	0.6439128446
86	0.7054598198	0.6436722959
87	0.7058138255	0.643441806
88	0.706124356	0.6432113168
