iter	MultiRMSE
0	458.840659
1	458.5023149
2	458.3070612
3	458.137534
4	457.8999918
5	457.7932118
6	457.6608103
7	457.4775088
8	457.2713367
9	457.1276482
10	456.9242853
11	456.7977284
12	456.6159566
13	456.4165209
14	456.3110513
15	456.1207796
16	455.964069
17	455.7858642
18	455.638578
19	455.3837559
20	455.1855123
21	455.0529771
22	454.9043486
23	454.7969642
24	454.6731013
25	454.4935616
26	454.2888256
27	454.1452803
28	453.9448885
29	453.7515912
30	453.5986954
31	453.4890359
32	453.2802403
33	453.0423071
34	452.8729076
35	452.6365518
36	452.4423099
37	452.3667046
38	452.0954024
39	451.9362766
40	451.8048173
41	451.6014945
42	451.4820383
43	451.2183682
44	450.8981413
45	450.6855771
46	450.5417582
47	450.3704874
48	450.2041284
49	450.0437155
50	449.8393967
51	449.6936703
52	449.4399421
53	449.2751406
54	449.1252237
55	448.9241279
56	448.7523658
57	448.5784785
58	448.4251043
59	448.3057902
60	448.145702
61	448.0150566
62	447.887083
63	447.7435
64	447.5267583
65	447.3504132
66	447.1912305
67	447.004211
68	446.8205919
69	446.6449256
70	446.4549914
71	446.209997
72	445.9823962
73	445.6923292
74	445.5786983
75	445.4306661
76	445.30572
77	445.082638
78	444.8398341
79	444.7658975
80	444.5302166
81	444.3114463
82	444.1908622
83	443.9788053
84	443.8519099
85	443.7191536
86	443.493223
87	443.3070256
88	443.1038084
89	442.9145067
90	442.8172945
91	442.621323
92	442.4641164
93	442.2150137
94	442.080464
95	441.9263163
96	441.7401479
97	441.5344456
98	441.3629866
99	441.2494219
100	441.1375703
101	440.9303713
102	440.7639885
103	440.5800504
104	440.4038926
105	440.1582355
106	439.9657887
107	439.8157008
108	439.6863404
109	439.5065648
110	439.3711661
111	439.2184067
112	439.1536643
113	438.9358576
114	438.7933653
115	438.6095734
116	438.3611033
117	438.1901714
118	438.1164267
119	437.9539043
120	437.8153911
121	437.5978618
122	437.4200549
123	437.2164011
124	437.0183985
125	436.8976078
126	436.6875928
127	436.5855196
128	436.4564191
129	436.3573806
130	436.1969328
131	436.0460108
132	435.8373672
133	435.6768032
134	435.5136435
135	435.3326335
136	435.1503469
137	434.957207
138	434.7170487
139	434.5467388
140	434.3874077
141	434.1583352
142	433.9189139
143	433.6741861
144	433.5002065
145	433.3762296
146	433.234949
147	433.0770396
148	432.9689682
149	432.8210985
150	432.5813197
151	432.4426833
152	432.2777084
153	432.0407612
154	431.9083419
155	431.6855474
156	431.5960859
157	431.3658954
158	431.163222
159	430.8842256
160	430.7086575
161	430.5391985
162	430.4035558
163	430.2452728
164	430.0816311
165	429.8534943
166	429.6536114
167	429.3556605
168	429.1383776
169	428.8909082
170	428.7906178
171	428.5478833
172	428.3375165
173	428.1665159
174	427.9680953
175	427.7975873
176	427.5468116
177	427.4691132
178	427.3589408
179	427.1249264
180	427.0321691
181	426.8945475
182	426.7236049
183	426.4777918
184	426.3734755
185	426.0933695
186	426.0037386
187	425.8360138
188	425.6862338
189	425.5937672
190	425.4551955
191	425.2916081
192	425.1444035
193	424.901997
194	424.7132826
195	424.4250101
196	424.2943972
197	424.2258198
198	424.0470979
199	423.9595822
200	423.816103
201	423.5164374
202	423.3233066
203	423.0520061
204	422.937143
205	422.7281363
206	422.5882156
207	422.5079109
208	422.358791
209	422.2452452
210	422.1653274
211	421.9970165
212	421.7122742
213	421.5571445
214	421.4004481
215	421.3025389
216	421.1101121
217	420.809075
218	420.6452027
219	420.4364048
220	420.3078609
221	420.2291958
222	419.9959909
223	419.8805391
224	419.7558963
225	419.6126307
226	419.4441405
227	419.2820088
228	419.0029937
229	418.8473459
230	418.7793548
231	418.6048695
232	418.4838753
233	418.3217711
234	418.1449926
235	418.0117223
236	417.8101387
237	417.7136593
