iter	MultiRMSE
0	458.8956619
1	458.6563892
2	458.3582797
3	458.1271137
4	457.8937357
5	457.7550745
6	457.4855626
7	457.2199113
8	456.9611059
9	456.7624997
10	456.5901051
11	456.4579137
12	456.2735652
13	456.032176
14	455.8506912
15	455.6730927
16	455.4826785
17	455.2980401
18	455.0100913
19	454.8097144
20	454.5941622
21	454.383547
22	454.2046767
23	453.8910786
24	453.7536125
25	453.6239206
26	453.4659235
27	453.3123324
28	453.2559188
29	453.141808
30	452.8804828
31	452.6566152
32	452.4943522
33	452.337512
34	452.1041851
35	451.8659535
36	451.6445911
37	451.467541
38	451.2858678
39	451.1142667
40	450.9801268
41	450.6857859
42	450.4988136
43	450.2985521
44	450.1292809
45	449.9312981
46	449.7905012
47	449.7197005
48	449.5354068
49	449.3554657
50	449.0988939
51	448.9325837
52	448.7657463
53	448.5353059
54	448.3669658
55	448.108902
56	447.9383025
57	447.7516017
58	447.5588612
59	447.3283912
60	447.1335666
61	447.0310562
62	446.8248729
63	446.689413
64	446.5391532
65	446.2547377
66	446.105471
67	445.9716101
68	445.679636
69	445.4712768
70	445.300181
71	445.0354793
72	444.7960864
73	444.6164824
74	444.4270872
75	444.2337461
76	444.0566119
77	443.8908285
78	443.729032
79	443.6198085
80	443.585379
81	443.4107589
82	443.134238
83	442.8684974
84	442.685668
85	442.4759241
86	442.3043202
87	442.0625142
88	441.8764434
89	441.6801784
90	441.5213152
91	441.3607819
92	441.1567342
93	440.9750248
94	440.7967154
95	440.6149559
96	440.4969391
97	440.2813122
98	440.074628
99	439.9708338
100	439.7276643
101	439.5601318
102	439.2709391
103	438.9926149
104	438.8211393
105	438.5534218
106	438.5281361
107	438.3691644
108	438.2019569
109	438.0128041
110	437.8455683
111	437.6649812
112	437.655158
113	437.4717664
114	437.2730089
115	437.1283619
116	436.895785
117	436.6106618
118	436.5197484
119	436.3246114
120	436.0390901
121	435.8797991
122	435.5698023
123	435.4524477
124	435.2686767
125	435.056845
126	434.85086
127	434.5899247
128	434.3463434
129	434.2391266
130	434.0817331
131	433.9195936
132	433.7089173
133	433.5982361
134	433.4411407
135	433.2649845
136	433.0646677
137	432.8668055
138	432.6470882
139	432.4767932
140	432.3081683
141	432.0959528
142	431.9383026
143	431.7297978
144	431.5141798
145	431.3701783
146	431.1964429
147	431.0499887
148	430.8095267
149	430.5993783
150	430.4143008
151	430.2820032
152	430.1385122
153	429.9986064
154	429.8948191
155	429.757631
156	429.5688509
157	429.3705743
158	429.1442348
159	429.0576563
160	428.898028
161	428.7101076
162	428.509473
163	428.2469866
164	428.076783
165	427.8964298
166	427.7283749
167	427.579475
168	427.4102936
169	427.3653656
170	427.2341317
171	427.084967
172	426.9355511
173	426.712598
174	426.5780112
175	426.3877406
176	426.2868639
177	426.189231
178	426.0389381
179	425.7660803
180	425.5986053
181	425.4375333
182	425.3504552
183	425.1573699
184	425.1311415
185	425.020953
186	424.8474535
187	424.7084048
188	424.5649876
189	424.3914549
190	424.1225963
191	423.9396555
192	423.8094258
193	423.6602119
194	423.3808237
195	423.2440638
196	423.1548878
197	423.0248751
198	422.9171706
199	422.8939967
200	422.7302256
201	422.5661882
202	422.2917721
203	422.0283993
204	421.7811223
205	421.5451202
206	421.4187926
207	421.3080401
208	421.0429757
209	420.8942564
210	420.6679531
211	420.5077945
212	420.3172257
213	420.1930551
214	420.1063901
215	419.9497356
216	419.8692021
217	419.7037992
218	419.5756323
219	419.3774919
220	419.2545975
221	419.1658743
222	418.8748635
223	418.7397035
224	418.5768588
225	418.4187013
226	418.3088046
227	418.0446573
228	417.8144063
229	417.7435687
230	417.6143062
231	417.4546508
232	417.3119164
233	417.1794338
234	417.0061037
235	416.747083
236	416.5517379
237	416.3714156
238	416.2872989
239	416.0360276
240	415.8915095
241	415.8101994
242	415.6438719
243	415.4985897
244	415.3424688
245	415.1932579
246	414.9827993
247	414.859269
248	414.7165465
249	414.4978597
250	414.3917912
251	414.3169268
252	414.240403
253	414.0075866
254	413.9250128
255	413.7022212
