,Feature Id,Importances
0,f34,8.249035215741598
1,f55,6.022750888677423
2,f43,5.573221848515009
3,f8,5.354160427828491
4,f91,5.307214779726589
5,f71,5.28968126481868
6,f80,5.044928706673177
7,f27,4.89513119416157
8,f50,3.252244513172894
9,f97,3.149050970871698
10,f41,3.1414685267387896
11,f57,2.558349048702734
12,f22,2.5552772731658666
13,f66,2.4748204707253993
14,f25,2.467409947353929
15,f96,2.316581193100021
16,f82,2.054752242868786
17,f81,1.9839993255778101
18,f21,1.8377933246727967
19,f24,1.65469119816282
20,f26,1.5729366687164257
21,f98,1.5293802351448853
22,f40,1.4903685934998236
23,f54,1.4407771127177271
24,f60,1.4306307236891607
25,f20,1.3100524797491875
26,f17,1.2988835015301141
27,f53,1.2774129389304096
28,f94,1.2679699374525262
29,f9,1.2629114201339804
30,f3,1.2199286735336847
31,f95,1.2010638231855872
32,f44,1.1706795729589947
33,f30,1.148560181161308
34,f5,1.1322875745807208
35,f31,1.0739972597377412
36,f10,1.043974948897674
37,f1,1.017345399532782
38,f49,0.9866807059145539
39,f47,0.9415958876766042
40,f0,0.0
41,f2,0.0
42,f4,0.0
43,f6,0.0
44,f7,0.0
45,f11,0.0
46,f12,0.0
47,f13,0.0
48,f14,0.0
49,f15,0.0
50,f16,0.0
51,f18,0.0
52,f19,0.0
53,f23,0.0
54,f28,0.0
55,f29,0.0
56,f32,0.0
57,f33,0.0
58,f35,0.0
59,f36,0.0
60,f37,0.0
61,f38,0.0
62,f39,0.0
63,f42,0.0
64,f45,0.0
65,f46,0.0
66,f48,0.0
67,f51,0.0
68,f52,0.0
69,f56,0.0
70,f58,0.0
71,f59,0.0
72,f61,0.0
73,f62,0.0
74,f63,0.0
75,f64,0.0
76,f65,0.0
77,f67,0.0
78,f68,0.0
79,f69,0.0
80,f70,0.0
81,f72,0.0
82,f73,0.0
83,f74,0.0
84,f75,0.0
85,f76,0.0
86,f77,0.0
87,f78,0.0
88,f79,0.0
89,f83,0.0
90,f84,0.0
91,f85,0.0
92,f86,0.0
93,f87,0.0
94,f88,0.0
95,f89,0.0
96,f90,0.0
97,f92,0.0
98,f93,0.0
99,f99,0.0
