iter	AUC	CrossEntropy
0	0.8196709073	0.6551107988
1	0.8256713858	0.6240970202
2	0.8261086331	0.600177777
3	0.8270506049	0.5814166572
4	0.827223127	0.5663290057
5	0.8285991951	0.5545622847
6	0.8295995778	0.5458083066
7	0.8298570217	0.5380698048
8	0.8305955965	0.5319772787
9	0.831464157	0.5275443932
10	0.8320007391	0.5235726838
11	0.8322645849	0.520020568
12	0.8327947434	0.5172721055
13	0.8335691243	0.5150399835
14	0.833867743	0.5128639927
15	0.8339940873	0.5109715408
16	0.8343864412	0.5095075784
17	0.8350695025	0.5082583585
18	0.835308037	0.5069505852
19	0.8358840651	0.5059483912
20	0.8360636731	0.5049124374
21	0.8364431667	0.5040629614
22	0.8368523861	0.5033020645
23	0.8374457229	0.5026505631
24	0.8375199437	0.501791155
25	0.8378948172	0.5011997691
26	0.8382767424	0.5005462445
27	0.8387751393	0.5000005074
28	0.8389473454	0.4993873275
29	0.8392106207	0.4988954616
30	0.839525106	0.4984216741
31	0.8399132637	0.4979447054
32	0.8402879656	0.4974946727
33	0.8405006155	0.4969858464
34	0.8407629745	0.496563772
35	0.8410039405	0.4961309993
36	0.8412754653	0.4957059989
37	0.8416125346	0.4952783493
38	0.8418259702	0.4948903443
39	0.8420385183	0.4945101717
40	0.8422948665	0.4941533015
41	0.8424573827	0.4937349782
42	0.8426996409	0.4933745295
43	0.8429273534	0.4930242064
44	0.8430963769	0.4926945063
45	0.843262609	0.4923588774
46	0.8434035382	0.4920328844
47	0.8436394575	0.4916807524
48	0.8438560752	0.4913968768
49	0.8440122107	0.4911111875
50	0.8441715453	0.4908337625
51	0.8443446929	0.4905120346
52	0.8445465969	0.4902448185
53	0.8447811826	0.4899554169
54	0.8449506734	0.4896790873
55	0.8450917364	0.4894228924
56	0.8452457714	0.489142906
57	0.8453613556	0.488886566
58	0.8455105487	0.4886451038
59	0.8456948027	0.4884107644
60	0.8457984499	0.4881673095
61	0.8459413911	0.4879363596
62	0.8460664544	0.4876652395
63	0.8461641747	0.4874336345
64	0.8462399949	0.4872245283
65	0.8463247084	0.4870082149
66	0.8464765284	0.4867821033
67	0.8465869369	0.486544837
68	0.8467431671	0.4863524609
69	0.8468648338	0.486114041
70	0.8469789709	0.4859109337
71	0.8471173261	0.4857366831
72	0.8472356099	0.4855554627
73	0.8473707732	0.4853597599
74	0.8474529089	0.4851705716
75	0.8475939724	0.4849791302
