iter	AUC	CrossEntropy
246	0.8497083205	0.4772200208
247	0.84972057	0.477201293
248	0.8497324718	0.4771842402
249	0.8497427403	0.4771665163
250	0.8497523341	0.4771506924
251	0.8497648263	0.477132066
252	0.8497771152	0.4771130225
253	0.8497869492	0.4770943527
254	0.8497984972	0.4770760081
255	0.8498106253	0.4770581414
256	0.8498233028	0.4770391948
257	0.8498369197	0.4770197486
258	0.8498486629	0.4770010931
259	0.8498613494	0.4769831607
260	0.8498719783	0.4769660793
261	0.8498803007	0.4769435475
262	0.8498896508	0.4769177794
263	0.8499013121	0.4769007865
264	0.8499133564	0.4768835699
265	0.8499249558	0.4768659444
266	0.8499379425	0.4768442259
267	0.8499467758	0.4768194701
268	0.8499584359	0.4768018502
269	0.8499675406	0.4767819284
270	0.8499784541	0.4767657205
271	0.8499902338	0.4767502145
272	0.8500035004	0.476731921
273	0.8500150454	0.4767151162
274	0.8500270049	0.4766965106
275	0.8500393485	0.4766783653
276	0.8500499803	0.4766618307
277	0.8500613686	0.4766434453
278	0.8500715655	0.4766282718
279	0.8500813305	0.4766116087
280	0.8500926188	0.4765930577
281	0.8501039263	0.476576016
282	0.8501152229	0.4765591437
283	0.850125455	0.4765383579
284	0.8501371282	0.4765218252
285	0.8501473267	0.4764993378
286	0.8501579858	0.4764831841
287	0.8501699486	0.4764659253
288	0.8501811568	0.4764500714
289	0.8501931245	0.4764330892
290	0.8502047111	0.4764167388
291	0.8502165497	0.476397983
292	0.8502277222	0.4763818197
293	0.8502385153	0.4763660244
294	0.8502505916	0.476348307
295	0.8502622142	0.476331689
296	0.850273623	0.4763146595
297	0.850285579	0.4762988126
298	0.8502963803	0.4762822919
299	0.8503080418	0.4762655066
300	0.8503181898	0.4762489696
301	0.8503253493	0.476227963
302	0.8503361082	0.4762105157
303	0.850347209	0.4761951876
304	0.8503570782	0.4761800477
305	0.8503693927	0.476163667
306	0.8503796592	0.4761479244
307	0.8503909702	0.4761321736
308	0.8504017924	0.4761175055
309	0.8504106411	0.4761017566
310	0.8504225949	0.476084064
311	0.8504331931	0.4760659892
312	0.8504430784	0.476052392
313	0.8504531279	0.4760385678
314	0.8504651768	0.4760126476
315	0.8504740891	0.4759864271
316	0.850483998	0.4759706644
317	0.8504946755	0.4759549168
318	0.8505055307	0.4759381098
319	0.8505150894	0.4759243581
320	0.8505259192	0.4759094745
321	0.8505359445	0.475894964
322	0.8505475791	0.475878481
323	0.8505568947	0.475863866
324	0.8505674063	0.4758485574
325	0.8505771686	0.4758343129
326	0.8505890153	0.4758181834
327	0.8505971756	0.4758053155
328	0.8506078429	0.4757902182
329	0.8506189001	0.47577408
330	0.850629008	0.4757603339
331	0.8506397927	0.4757452344
332	0.8506500328	0.4757309035
333	0.8506593344	0.4757178459
334	0.850665567	0.4756937506
335	0.8506739017	0.4756814329
336	0.850684807	0.475666206
337	0.8506966909	0.4756502424
338	0.8507069303	0.4756343479
339	0.8507180296	0.4756189251
340	0.8507299012	0.4756027572
341	0.8507395657	0.4755872945
342	0.8507511866	0.4755707447
343	0.8507607227	0.4755570873
344	0.8507724045	0.4755413232
345	0.8507832711	0.4755233944
346	0.8507923379	0.4755092037
347	0.8508033885	0.4754939512
348	0.8508136286	0.4754785437
349	0.850824124	0.4754640371
350	0.8508342627	0.4754491551
351	0.8508456756	0.4754335659
352	0.8508568026	0.47541795
353	0.8508670343	0.4754029495
354	0.850877284	0.4753881307
355	0.8508879323	0.4753738585
356	0.8508983591	0.4753595752
357	0.8509068006	0.4753470915
358	0.8509174393	0.4753317589
359	0.8509305974	0.4753142945
360	0.8509417602	0.4752984449
361	0.850952564	0.475282522
362	0.8509622412	0.4752686149
363	0.8509702595	0.4752501977
364	0.8509800408	0.4752361843
365	0.8509897686	0.4752227431
366	0.8509983786	0.4752096254
367	0.851009169	0.4751937714
368	0.8510213921	0.4751773633
369	0.8510317847	0.4751630201
370	0.8510412032	0.4751500172
371	0.8510519336	0.4751339827
372	0.8510616155	0.4751199604
373	0.8510727208	0.4751047908
374	0.8510826289	0.4750902103
375	0.8510928172	0.4750750517
376	0.85110326	0.4750603747
377	0.8511145797	0.4750449478
378	0.8511251119	0.4750304943
379	0.8511358924	0.4750158919
380	0.8511461766	0.4750004159
381	0.8511569362	0.4749860713
382	0.8511636809	0.4749761088
383	0.8511731983	0.4749632018
384	0.8511837947	0.4749488153
385	0.8511950073	0.4749344506
386	0.8512054164	0.4749191415
387	0.8512104399	0.4748911483
388	0.8512215898	0.4748755965
389	0.8512324849	0.474860773
390	0.8512431751	0.4748455702
391	0.8512555647	0.4748284808
392	0.8512655814	0.4748144911
393	0.8512740853	0.4747935419
394	0.8512831263	0.4747807573
395	0.8512897631	0.4747661256
396	0.8512994727	0.4747531784
397	0.8513078575	0.4747400103
398	0.8513174141	0.4747265192
399	0.85132732	0.4747133112
400	0.8513375899	0.4746991318
401	0.8513493058	0.4746830089
402	0.8513573845	0.4746713086
403	0.8513677291	0.4746572073
404	0.8513796078	0.474641053
405	0.85138738	0.4746302143
406	0.8513986101	0.4746154387
407	0.851408915	0.4746005918
408	0.8514195265	0.4745860601
409	0.8514300754	0.4745714352
410	0.851441391	0.4745555369
411	0.8514478543	0.4745351387
412	0.851457707	0.4745214847
413	0.8514684211	0.4745070661
414	0.8514793678	0.4744904002
415	0.8514884488	0.4744771143
416	0.8514988643	0.4744628973
417	0.8515090198	0.4744483674
418	0.8515193395	0.4744338728
419	0.8515270085	0.4744155935
420	0.8515373029	0.4744008061
421	0.8515475187	0.474386147
422	0.8515556694	0.474374521
423	0.8515637882	0.474362291
424	0.8515747574	0.4743470207
425	0.8515848895	0.4743336864
426	0.8515958843	0.4743186034
427	0.8516053516	0.4743031913
428	0.8516144861	0.4742892111
429	0.8516250262	0.474275187
430	0.8516354025	0.4742601134
431	0.8516466828	0.4742455527
432	0.8516535092	0.4742287004
433	0.8516646046	0.4742122727
434	0.8516747015	0.4741985381
435	0.8516843824	0.4741855393
436	0.8516937565	0.4741713921
437	0.8517044508	0.47415616
438	0.8517129108	0.4741440337
439	0.8517232173	0.4741302409
440	0.851734907	0.4741145261
441	0.8517453381	0.4741003659
442	0.8517557072	0.4740867794
443	0.851765171	0.4740729624
444	0.8517764107	0.4740578209
445	0.8517860538	0.4740442651
446	0.8517960799	0.4740303621
447	0.8518070684	0.4740159804
448	0.8518168059	0.4739963633
449	0.8518266193	0.4739831661
450	0.8518369326	0.473969672
451	0.8518470825	0.4739536882
452	0.8518568583	0.4739411596
453	0.8518666166	0.4739276064
454	0.8518770744	0.4739131782
455	0.8518853409	0.4738997537
456	0.8518955169	0.4738860971
457	0.8519043661	0.4738734392
458	0.8519148247	0.4738591289
459	0.8519233349	0.4738466171
460	0.8519336352	0.4738324271
461	0.8519434074	0.4738181611
462	0.8519525957	0.47380513
463	0.8519624332	0.4737920975
464	0.8519721886	0.4737780501
465	0.8519833448	0.4737633112
466	0.8519927097	0.4737496031
467	0.8520029565	0.4737359025
468	0.8520138885	0.473720876
469	0.8520241959	0.4737071401
470	0.852035445	0.47369249
471	0.8520444395	0.4736803187
472	0.8520549297	0.4736662613
473	0.8520647289	0.4736521976
474	0.8520746123	0.4736363308
475	0.8520852786	0.4736224992
476	0.8520962372	0.4736072631
477	0.8521042434	0.4735952228
478	0.8521135861	0.4735828478
479	0.852124633	0.4735658958
480	0.8521360307	0.4735509922
481	0.8521476618	0.4735350911
482	0.8521568081	0.4735228246
483	0.852165735	0.4735083675
484	0.8521769972	0.4734934653
485	0.8521864804	0.4734804253
486	0.8521965785	0.4734669926
487	0.8522064577	0.4734535364
488	0.8522165784	0.4734396446
489	0.8522262219	0.4734268332
490	0.85223546	0.4734146374
491	0.8522454915	0.4734011079
492	0.852255897	0.4733865575
493	0.8522662698	0.4733725983
494	0.8522744356	0.4733604657
495	0.8522844697	0.4733430282
496	0.8522949285	0.4733281125
497	0.8523036727	0.4733142147
498	0.8523148853	0.4732992676
499	0.8523250585	0.4732861388
500	0.8523359176	0.4732725116
501	0.852345002	0.4732593245
502	0.8523565524	0.473243283
503	0.8523668605	0.4732294399
504	0.8523771468	0.4732156797
505	0.8523878493	0.4732013772
506	0.8523964872	0.473188852
507	0.8524054713	0.473176194
508	0.852415253	0.4731632061
509	0.8524217893	0.4731529982
510	0.8524308945	0.4731407403
511	0.8524408503	0.473127188
512	0.852449065	0.4731166911
513	0.8524599073	0.4731022692
514	0.8524702487	0.4730860811
515	0.8524789389	0.4730729868
516	0.8524885008	0.4730598522
517	0.8524980548	0.4730470788
518	0.852505579	0.4730370378
519	0.8525147911	0.4730249642
520	0.8525245059	0.4730108756
521	0.8525336144	0.4729979562
522	0.8525428228	0.4729852506
523	0.8525530629	0.4729710772
524	0.8525618864	0.4729578546
525	0.8525654761	0.4729274309
526	0.8525746829	0.472914528
527	0.8525873943	0.4728980504
528	0.852597871	0.4728839026
529	0.8526068286	0.4728709494
530	0.8526172408	0.4728569124
531	0.8526255764	0.4728446657
532	0.8526359582	0.4728302454
533	0.8526455964	0.472817503
534	0.8526552864	0.4728041935
535	0.8526646695	0.4727906683
536	0.8526759746	0.4727746843
537	0.8526862731	0.4727600727
538	0.8526974983	0.4727443809
539	0.8527067225	0.4727317053
540	0.8527176936	0.4727163048
541	0.8527293647	0.47270098
542	0.8527401004	0.4726860138
543	0.8527466021	0.4726754323
544	0.852753504	0.4726652165
545	0.8527599917	0.4726394004
546	0.8527697636	0.4726268429
547	0.852780129	0.4726120283
548	0.8527895176	0.4725988339
549	0.8527982621	0.472587149
550	0.8528074709	0.4725741949
551	0.8528167511	0.4725619546
552	0.8528271144	0.4725478103
553	0.8528380125	0.4725332379
554	0.8528477646	0.4725199286
555	0.8528568537	0.4725080507
556	0.8528666578	0.4724946598
557	0.8528762813	0.4724813698
558	0.8528845517	0.4724696337
559	0.8528949158	0.472454899
560	0.8529041221	0.4724421629
561	0.8529133064	0.4724301874
562	0.8529217383	0.4724187894
563	0.85293112	0.4724065188
564	0.8529404147	0.4723935248
565	0.8529475675	0.4723826701
566	0.8529566143	0.4723708124
567	0.8529655527	0.4723590348
568	0.8529763463	0.4723444787
569	0.8529864129	0.4723305297
570	0.8529967982	0.4723166886
571	0.8530058106	0.4723028156
572	0.8530152367	0.4722892491
573	0.8530234629	0.4722781729
574	0.8530323862	0.4722659902
