iter	AUC	CrossEntropy
95	0.7078809004	0.6416580963
96	0.7081677751	0.6414453145
97	0.7083362395	0.6412420367
98	0.7087043139	0.6410304954
99	0.708845696	0.6408212317
100	0.7091037056	0.6406137874
101	0.7093778295	0.6404082322
102	0.709799033	0.6402137072
103	0.71013401	0.6400214464
104	0.7103662245	0.639823346
105	0.7105342114	0.6396263619
106	0.7107332109	0.6394243389
107	0.7108940004	0.6392304271
108	0.7111406135	0.6390453013
109	0.711438242	0.6388576492
110	0.7116745083	0.6386686665
111	0.7118570252	0.6384909245
112	0.7121420384	0.6383087083
113	0.7123893959	0.6381258164
114	0.7127321287	0.6379516366
115	0.7129196113	0.6377766931
116	0.7132835877	0.6375996473
117	0.7135434679	0.6374238866
118	0.7137918213	0.6372543582
119	0.7140016114	0.6370884681
120	0.7139823636	0.6369187893
121	0.7143009399	0.6367529127
122	0.7145706894	0.6365885589
123	0.7148239199	0.6364244418
124	0.7148760397	0.63625952
125	0.7151214512	0.636102091
126	0.7153483336	0.6359423358
127	0.7154763008	0.6357874555
128	0.7156760867	0.6356354613
129	0.7158683913	0.6354811048
130	0.7159816257	0.6353248413
131	0.7161318562	0.6351636055
132	0.7163567166	0.6350189174
133	0.7165596519	0.6348703492
134	0.716631933	0.6347158244
135	0.7167200183	0.6345640642
136	0.7168834349	0.6344110456
137	0.7170825484	0.6342637953
138	0.717244416	0.6341240701
139	0.7173823441	0.6339838123
140	0.7175091245	0.633838775
141	0.717705627	0.6336953637
142	0.7178145995	0.6335561249
143	0.7180651869	0.6334200925
144	0.7182966475	0.6332872668
145	0.718476857	0.6331527593
146	0.7186293847	0.6330111912
147	0.7187589721	0.6328732253
148	0.718874879	0.63274039
149	0.7190128031	0.6326123714
150	0.7191427627	0.6324849854
151	0.7193263616	0.632354569
152	0.7194930711	0.6322246103
153	0.7196791712	0.6320966465
154	0.719820577	0.6319667466
155	0.7199998424	0.6318381588
156	0.720138236	0.631713777
157	0.7202552158	0.6315918097
158	0.7203707934	0.6314694591
159	0.7205670418	0.6313470977
160	0.7206473418	0.6312202145
161	0.72074426	0.6310984471
162	0.72093173	0.6309773399
163	0.7209542242	0.6308551601
164	0.7211392086	0.6307337987
165	0.7212292851	0.6306185925
166	0.7213964015	0.6305005029
167	0.7215963386	0.6303856789
168	0.7218154007	0.6302789359
169	0.7219953145	0.6301671332
170	0.7221611015	0.6300582276
171	0.7222847534	0.6299459625
172	0.7224398763	0.6298388507
173	0.7226046056	0.6297252547
174	0.7227365055	0.6296178142
175	0.7228142631	0.629510178
176	0.7229696037	0.6294041891
177	0.7230584627	0.629295072
178	0.723206886	0.6291892404
179	0.7233619085	0.6290858002
180	0.7234516	0.6289823086
181	0.7234800215	0.6288701318
182	0.7235636662	0.6287614487
183	0.7236802641	0.628661398
184	0.7237735742	0.6285601459
185	0.7238304302	0.6284548241
186	0.7238382118	0.6283495136
187	0.7239914458	0.6282480968
188	0.7241540413	0.6281507499
189	0.7242918022	0.6280533423
190	0.7243853919	0.6279563356
191	0.7245486516	0.6278553967
192	0.7246675475	0.6277616754
193	0.7248083342	0.6276675179
194	0.7249348723	0.6275722141
195	0.7250139598	0.6274755518
196	0.7250908915	0.6273816308
197	0.7252517888	0.6272885511
198	0.7252883675	0.6271926175
199	0.7254100161	0.6271015844
200	0.7255070004	0.6270113102
201	0.7256405162	0.626921284
202	0.7257051796	0.6268307303
203	0.7258043976	0.6267363332
204	0.7259402935	0.6266473674
205	0.7259923017	0.626553736
206	0.7261588067	0.6264678577
207	0.7262564959	0.6263820171
208	0.7263628783	0.626293613
209	0.7264633641	0.6262051263
210	0.7265488411	0.6261223341
211	0.7266642691	0.6260356339
212	0.7266882378	0.6259481124
213	0.7267271874	0.6258581361
214	0.7268479462	0.6257749002
215	0.7269497662	0.6256855565
216	0.7270972045	0.62560516
217	0.7271358059	0.6255171048
218	0.7272090654	0.6254357733
219	0.7272813875	0.6253546547
220	0.7273845576	0.6252749415
221	0.7274698833	0.6251927699
222	0.7275648592	0.6251100213
223	0.7276591941	0.6250289881
224	0.7277380479	0.6249465556
225	0.7278056668	0.6248731454
226	0.7278902953	0.6247914962
227	0.7279604703	0.6247150065
228	0.7280569109	0.6246375692
229	0.7281470643	0.6245585618
230	0.7281879619	0.6244814049
231	0.7282922848	0.6244043492
232	0.7283694911	0.6243300145
233	0.7284385652	0.6242570626
234	0.7285515967	0.6241784112
235	0.7286416037	0.6241035666
236	0.7287221406	0.6240328558
237	0.7288392286	0.6239611408
238	0.7288910383	0.6238862188
239	0.7289692684	0.6238121586
240	0.7290318224	0.6237362592
241	0.7291395795	0.6236660978
242	0.7292259099	0.6235939975
243	0.7292902496	0.6235231758
244	0.7293402562	0.6234524436
245	0.7294264282	0.6233781413
246	0.7294812071	0.6233105893
247	0.7295310746	0.6232410175
248	0.7296127761	0.6231714191
249	0.7296785869	0.6231011172
250	0.7297603378	0.6230343246
251	0.7298092918	0.6229668495
252	0.7299000303	0.6228976337
253	0.7299924191	0.6228300622
254	0.7300432064	0.6227599155
255	0.7300750621	0.6226924136
256	0.7301323123	0.6226273858
257	0.7302322752	0.6225611782
258	0.7302979606	0.6224956983
259	0.7303745052	0.6224299064
260	0.73044721	0.6223674728
261	0.7305180502	0.6223015151
262	0.7305956046	0.6222382687
263	0.7306886934	0.6221736343
264	0.7307620056	0.6221108392
265	0.730804672	0.6220512904
266	0.7308700836	0.6219876471
267	0.7309180927	0.6219279295
268	0.7309913534	0.6218669692
269	0.7310233527	0.6218072806
270	0.7310828753	0.621747515
271	0.7310933763	0.6216838098
272	0.7311395212	0.6216172032
273	0.7312344469	0.6215566292
274	0.7313022744	0.6214969901
275	0.7313402083	0.6214360865
276	0.7313786789	0.6213755994
277	0.7314473952	0.6213138835
278	0.7315324876	0.621252107
