iter	MultiRMSE
0	458.8283469
1	458.5722379
2	458.3063644
3	458.0292565
4	457.7892734
5	457.6315582
6	457.4694548
7	457.2510056
8	456.9483676
9	456.7286703
10	456.3858542
11	456.3028607
12	456.0254802
13	455.8586434
14	455.6367468
15	455.4873154
16	455.2984429
17	455.1369391
18	455.0840701
19	454.8589071
20	454.5803355
21	454.366493
22	454.1876918
23	454.0003576
24	453.8042579
25	453.6929901
26	453.4965412
27	453.2671942
28	453.1126397
29	452.8960419
30	452.6767324
31	452.4755883
32	452.2553571
33	451.9867678
34	451.7465667
35	451.5879433
36	451.4095255
37	451.2250552
38	451.0522961
39	450.9051025
40	450.7380502
41	450.4859273
42	450.3344554
43	450.160203
44	449.8307375
45	449.7108031
46	449.5944912
47	449.4004501
48	449.1779845
49	448.9714298
50	448.7642701
51	448.6144327
52	448.3755063
53	448.1738
54	448.0039224
55	447.740116
56	447.5098724
57	447.4425732
58	447.2904419
59	447.0608172
60	446.8448993
61	446.6865247
62	446.5238511
63	446.3489393
64	446.1635663
65	445.9456108
66	445.655457
67	445.5115037
68	445.3052612
69	445.1091059
70	444.946968
71	444.8116419
72	444.6133016
73	444.5172336
74	444.2242118
75	444.0521881
76	443.8171026
77	443.6213479
78	443.4753219
79	443.3784668
80	443.2125486
81	443.0216929
82	442.8613957
83	442.7231952
84	442.5447351
85	442.3394993
86	442.1069122
87	441.9139876
88	441.7384901
89	441.5785607
90	441.4571881
91	441.240059
92	441.0563756
93	440.8509582
94	440.7570092
95	440.6080301
96	440.420788
97	440.1291493
98	440.1036841
99	439.9194605
100	439.7153567
101	439.5418207
102	439.3720917
103	439.2131031
104	439.0520699
105	438.8177826
106	438.6835586
107	438.5385441
108	438.4402
109	438.2084702
110	438.030566
111	437.8570597
112	437.6799438
113	437.663314
114	437.4529247
115	437.2889407
116	437.13676
117	436.9473989
118	436.6960039
119	436.5067988
120	436.4000161
121	436.2843265
122	436.126561
123	435.9294557
124	435.7607597
125	435.5877465
126	435.4537548
127	435.2432362
128	435.0337293
129	434.9082061
130	434.7561785
131	434.5973901
132	434.4023362
133	434.2771544
134	434.1071457
135	433.9193869
136	433.774315
137	433.6000608
138	433.4036003
139	433.2260248
140	433.0409636
141	432.8041
142	432.6997221
143	432.5230646
144	432.3311924
145	432.147593
146	431.9315827
147	431.8101217
148	431.6733893
149	431.501679
150	431.3212317
151	431.1422587
152	430.9639218
153	430.8887276
154	430.6437103
155	430.5754159
156	430.4199584
157	430.2363561
158	430.1140668
159	430.0492381
160	429.9161484
161	429.7498504
162	429.587072
163	429.4076846
164	429.1302955
165	428.999312
166	428.8017472
167	428.6987718
168	428.4946202
169	428.3809952
170	428.2024218
171	428.1376946
172	428.0234428
173	427.7846147
174	427.6227885
175	427.4872252
176	427.3743117
177	427.2280546
178	427.0624784
179	426.9080251
180	426.7437909
181	426.567491
182	426.3974662
183	426.220085
184	425.9914502
185	425.7661304
186	425.6160413
187	425.3899561
188	425.1962228
189	424.991775
190	424.9038205
191	424.8015697
192	424.6947534
193	424.6038834
194	424.452722
195	424.2809134
196	424.1254655
197	423.9763279
198	423.7942983
199	423.573097
200	423.3850437
201	423.2923979
202	423.1367045
203	422.9903849
204	422.8316188
205	422.6665727
206	422.5472142
207	422.4005076
208	422.1210585
209	421.9638425
210	421.7558003
211	421.6625882
212	421.4366563
213	421.2209736
214	421.0935337
215	420.8998568
216	420.7408811
217	420.5963343
218	420.4253394
219	420.1411382
220	419.892255
221	419.71712
222	419.5315001
223	419.4390958
224	419.3230354
225	419.1720904
226	418.9813253
227	418.7933948
228	418.657393
229	418.4926174
230	418.2946603
231	418.1083896
232	417.9929625
233	417.8289305
234	417.6832522
235	417.5204734
236	417.3664218
237	417.1907591
238	417.0229427
239	416.8147795
240	416.6202471
241	416.4500792
242	416.2920983
243	416.1458083
244	416.1234654
245	416.0287868
246	415.8703194
247	415.6802379
248	415.5646732
249	415.4017852
250	415.1545327
251	414.9934388
252	414.7676575
253	414.5378985
254	414.4063632
255	414.2928585
256	414.1317674
257	413.9834127
258	413.8370224
259	413.6943116
260	413.543497
261	413.447271
262	413.2645867
263	413.0326192
264	412.9133179
265	412.7644785
266	412.6243811
267	412.4854258
268	412.3839844
269	412.1009325
270	411.9783587
271	411.9033189
272	411.7864902
273	411.7117153
274	411.586485
275	411.4395217
276	411.3054002
277	411.1478027
278	411.0313636
279	410.8533895
280	410.7479635
281	410.4528553
282	410.2770439
283	410.1488242
284	410.0010145
285	409.8662483
286	409.8412313
287	409.5587183
288	409.4006667
289	409.2313854
290	409.0988729
291	408.9360213
292	408.7128733
293	408.5879862
294	408.3425282
295	408.1708623
296	408.0044779
297	407.8787063
298	407.7601054
299	407.6276676
300	407.3858169
301	407.2225264
302	407.0393055
303	406.827643
304	406.64982
305	406.4918285
306	406.3713496
307	406.1802205
308	406.0365988
309	405.9946181
310	405.8730577
311	405.6363149
312	405.5233773
313	405.4335241
314	405.1810495
315	405.0713755
316	404.9471306
317	404.6726775
318	404.5594667
319	404.489073
320	404.36106
321	404.2015551
322	403.9803534
323	403.8396438
324	403.6599924
325	403.5138049
326	403.3680778
327	403.1737415
328	403.0452795
329	402.9059722
330	402.7629377
331	402.7229253
332	402.5562536
333	402.4211901
334	402.2881709
335	402.1553905
336	402.0183915
337	401.8476895
338	401.6313333
339	401.3841386
340	401.2942353
341	401.1646475
342	401.0375087
343	400.88618
344	400.7520817
345	400.5392202
346	400.3258995
347	400.1888337
348	400.0564633
349	399.9100589
350	399.6585068
351	399.5259609
352	399.3895455
353	399.136448
354	398.9396517
355	398.8124809
356	398.6290407
357	398.4841245
358	398.3325092
359	398.1532608
360	398.0072028
361	397.9347644
362	397.781143
363	397.5378808
364	397.4484304
365	397.3030676
366	397.1733056
367	397.0281237
368	396.9373359
369	396.8007377
370	396.7913415
371	396.6916331
372	396.5692048
373	396.4011967
374	396.2622984
375	396.1330607
376	395.9137929
377	395.7797662
378	395.6606535
379	395.426942
380	395.2647005
381	395.1023647
382	394.8988085
383	394.7758756
384	394.7086298
385	394.5576544
386	394.4022368
387	394.2526793
388	394.1171344
389	393.9764323
390	393.7655944
391	393.648432
392	393.4065832
393	393.2629313
394	393.029814
395	392.9004403
396	392.7559182
397	392.6118118
398	392.4371607
399	392.3301274
400	392.2252243
401	392.0846865
402	391.8331914
403	391.6681075
404	391.5742831
405	391.3530352
406	391.2350544
407	390.9543583
408	390.8636368
409	390.7418636
410	390.6202742
411	390.56742
412	390.374799
413	390.242408
414	390.1504516
415	390.009149
416	389.8132228
417	389.6363655
418	389.4719124
419	389.3204308
420	389.1381055
421	388.9671056
422	388.8302808
423	388.7506628
424	388.4816011
425	388.3906236
426	388.260104
427	388.1137435
428	388.0731991
429	388.033906
430	387.9321252
431	387.8007006
432	387.6629329
433	387.5574865
434	387.3975204
435	387.2762294
436	387.0866682
437	386.9627708
438	386.8411791
439	386.6930155
440	386.5047118
441	386.3559577
442	386.2210367
443	386.0957978
444	385.9609764
445	385.8191016
446	385.7651579
447	385.6597924
448	385.5177366
449	385.349921
450	385.2770817
451	385.0161493
452	385.0052634
453	384.7508254
454	384.5988799
455	384.4363113
456	384.2632758
457	384.1246686
458	383.9008624
459	383.7633695
460	383.63559
461	383.4482102
462	383.3810615
463	383.1976524
464	383.1467671
465	383.0339703
466	382.8211104
467	382.6768534
468	382.4536854
469	382.3216551
470	382.2224759
471	382.091857
472	381.9799681
473	381.7878702
474	381.6427361
475	381.4330508
476	381.2329751
477	381.1106369
478	380.9897368
479	380.7484933
480	380.6495358
481	380.4618478
482	380.2970446
483	380.0699311
484	379.8081249
485	379.727417
486	379.5804976
487	379.3911646
488	379.2363658
489	379.1569224
490	379.0339423
491	378.942497
492	378.7528235
493	378.6024277
494	378.3546911
495	378.1180335
496	377.9981941
497	377.8672319
498	377.6967186
499	377.6145849
500	377.4999574
501	377.3683704
502	377.1672393
503	376.936627
504	376.8089792
505	376.6821531
506	376.4807343
507	376.3222309
508	376.1607423
509	375.9354214
510	375.8712789
511	375.7635511
512	375.5907138
513	375.3655538
514	375.1763877
515	375.0535691
516	374.8952379
517	374.8182117
518	374.6365798
519	374.5030762
520	374.3764656
521	374.1902169
522	374.071218
523	373.9412879
524	373.8991005
525	373.7475087
526	373.488625
527	373.3507926
528	373.2501575
529	373.1189839
530	372.9783665
531	372.8658055
532	372.7770259
533	372.7295288
534	372.5884343
535	372.4484552
536	372.2629438
537	372.1321463
538	371.9287729
539	371.6994574
540	371.5777633
541	371.3608343
542	371.1390573
543	371.0531738
544	370.9619519
545	370.7718857
546	370.5987576
547	370.5123401
548	370.4115639
549	370.2791625
550	370.1599013
551	370.0348558
552	369.9182019
553	369.7389219
554	369.5358218
555	369.4743527
556	369.2998256
557	369.0900854
558	368.9862911
559	368.7842825
560	368.7013613
561	368.6082417
562	368.4094192
563	368.3181509
564	368.2040203
565	368.1189114
566	367.9739216
567	367.9243841
568	367.6973582
569	367.6188807
570	367.4882732
571	367.4128594
572	367.3355067
573	367.2384929
574	367.066962
575	366.8489536
576	366.7013762
577	366.5421831
