,Feature Id,Importances
0,f34,7.406891812945068
1,f55,5.4979003158702415
2,f43,4.947463258823341
3,f8,4.924847311652364
4,f91,4.77781064879517
5,f71,4.697578655761661
6,f80,4.515424373007342
7,f27,4.512251771235568
8,f50,2.8854262268450093
9,f41,2.8181526722773387
10,f97,2.8067684819208285
11,f22,2.24400740887616
12,f57,2.2033328996313055
13,f66,2.1831855118692465
14,f25,2.1306365795666875
15,f96,1.9852912810155967
16,f81,1.6887883224798024
17,f82,1.6858154059168335
18,f21,1.558998609126392
19,f26,1.3549696991626128
20,f24,1.3096098494128068
21,f60,1.2543103750106963
22,f40,1.2454865105068353
23,f54,1.2289252088259432
24,f98,1.2121117132938575
25,f20,1.0805170809906126
26,f95,1.0288114579937122
27,f3,1.0081717684336355
28,f17,1.0027893718024525
29,f9,0.9856970057008543
30,f94,0.9750441440648772
31,f53,0.9446305822945446
32,f5,0.9323485697122976
33,f44,0.8938110885073698
34,f30,0.8795656928445386
35,f51,0.8742365412102018
36,f4,0.8302188050434007
37,f49,0.7942498113107178
38,f1,0.7757213085844851
39,f10,0.7739634008704966
40,f42,0.7514545704409451
41,f31,0.7475206908730647
42,f16,0.7199146940847913
43,f47,0.7161198407057503
44,f84,0.7085870471579649
45,f48,0.703586797738189
46,f32,0.7006257555089795
47,f64,0.6835745575819189
48,f2,0.6826037208227059
49,f56,0.6739702038727443
50,f62,0.6673543017551022
51,f36,0.647899721386256
52,f93,0.6474771496580781
53,f33,0.6374591099931821
54,f45,0.6281484066627265
55,f70,0.5930470729681793
56,f61,0.5913909826191928
57,f28,0.5759294464279882
58,f15,0.5447939064573412
59,f67,0.5227804900919747
60,f0,0.0
61,f6,0.0
62,f7,0.0
63,f11,0.0
64,f12,0.0
65,f13,0.0
66,f14,0.0
67,f18,0.0
68,f19,0.0
69,f23,0.0
70,f29,0.0
71,f35,0.0
72,f37,0.0
73,f38,0.0
74,f39,0.0
75,f46,0.0
76,f52,0.0
77,f58,0.0
78,f59,0.0
79,f63,0.0
80,f65,0.0
81,f68,0.0
82,f69,0.0
83,f72,0.0
84,f73,0.0
85,f74,0.0
86,f75,0.0
87,f76,0.0
88,f77,0.0
89,f78,0.0
90,f79,0.0
91,f83,0.0
92,f85,0.0
93,f86,0.0
94,f87,0.0
95,f88,0.0
96,f89,0.0
97,f90,0.0
98,f92,0.0
99,f99,0.0
