iter	MultiRMSE
0	458.9225429
1	458.753783
2	458.5583008
3	458.4115263
4	458.3045325
5	458.2218067
6	458.045387
7	457.9231897
8	457.6689595
9	457.6573047
10	457.5144389
11	457.1767613
12	456.9568667
13	456.7367407
14	456.5336314
15	456.3182435
16	456.0040464
17	455.7341209
18	455.425095
19	455.2758935
20	455.1569447
21	454.9831289
22	454.783564
23	454.5749451
24	454.3549334
25	454.0974768
26	453.8301695
27	453.6031011
28	453.4371756
29	453.2722106
30	453.0526055
31	452.8258792
32	452.6345731
33	452.5214495
34	452.294239
35	452.1898925
36	452.1183724
37	451.9295744
38	451.808386
39	451.5562837
40	451.404747
41	451.1657875
42	451.0243478
43	450.9053194
44	450.7006159
45	450.5321064
46	450.3461229
47	450.2442206
48	450.0040221
49	449.7838831
50	449.584376
51	449.2879383
52	448.9957628
53	448.9228325
54	448.6664861
55	448.4593043
56	448.2804734
57	448.0348256
58	447.8843387
59	447.65634
60	447.3834294
61	447.1900146
62	446.9750071
63	446.851774
64	446.6586478
65	446.563178
66	446.4013433
67	446.2070227
68	445.9443988
69	445.8118557
70	445.6427516
71	445.4784067
72	445.383281
73	445.1849831
74	445.1084284
75	444.9543263
76	444.7383004
77	444.4845675
78	444.30126
79	444.1283775
80	444.0036166
81	443.7103829
82	443.4583635
83	443.3019275
84	443.1331504
85	442.9844408
86	442.8210647
87	442.6057704
88	442.3949592
89	442.2633435
90	442.0386935
91	441.8416064
92	441.6848511
93	441.53402
94	441.2867563
95	441.1196623
96	440.9816899
97	440.7974103
98	440.6135903
99	440.4914067
100	440.3166319
101	440.1828341
102	440.0130896
103	439.8960703
104	439.7809348
105	439.6209486
106	439.4548867
107	439.2919467
108	439.151879
109	439.0355292
110	438.8843126
111	438.7725469
112	438.559003
113	438.4063667
114	438.1590437
115	438.0175385
116	437.8620528
117	437.719324
118	437.6991799
119	437.6304448
120	437.4438042
121	437.1728663
122	437.0067406
123	436.8397298
124	436.6693661
125	436.5322186
126	436.3033708
127	436.191242
128	436.1240868
129	435.9559029
130	435.7860783
131	435.6062903
132	435.438955
133	435.2820732
134	435.1120921
135	434.9427978
136	434.7733062
137	434.5890568
138	434.4925942
139	434.4201505
140	434.2687601
141	434.1542891
142	433.9767037
143	433.7988326
144	433.6335351
145	433.4956995
146	433.2827619
147	433.1153074
148	433.0226879
149	432.7522611
150	432.5800145
151	432.2839393
152	432.1273028
153	432.0317168
154	431.8870422
155	431.7017989
156	431.5242426
157	431.4306946
158	431.2415732
159	431.0974819
160	430.9160923
161	430.7421278
162	430.4315012
163	430.190298
164	430.1053555
